os,os_version,url
iOS,iOS 14,https://www.ozon.ru/product/apple-smartfon-iphone-12-esim-sim-4-64-gb-zelenyy-200999591/
Android,Android version not specified,https://www.ozon.ru/product/xiaomi-smartfon-globalnaya-versiya-smartfona-redmi-note-13-pro-nfc-s-podderzhkoy-osnovnoy-kamery-200-1415047997/
iOS,iOS 16,https://www.ozon.ru/product/apple-smartfon-iphone-14-6-256-gb-belyy-1446455064/
iOS,iOS 16,https://www.ozon.ru/product/apple-smartfon-iphone-14-6-256-gb-chernyy-1446455121/
Android,Android version not specified,https://www.ozon.ru/product/xiaomi-smartfon-globalnaya-versiya-smartfona-redmi-note-13-pro-nfc-s-podderzhkoy-osnovnoy-kamery-200-1415047509/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-4-128-gb-zelenyy-1244592425/
Android,Android version not specified,https://www.ozon.ru/product/xiaomi-smartfon-globalnaya-versiya-smartfona-redmi-note-13-pro-nfc-s-podderzhkoy-osnovnoy-kamery-200-1415047840/
iOS,iOS 16,https://www.ozon.ru/product/apple-smartfon-iphone-14-sovershenno-novyy-neotkrytyy-podderzhivaet-dve-fizicheskie-sim1-sim2-6-256-727962584/
iOS,iOS 16,https://www.ozon.ru/product/apple-smartfon-iphone-14-novyy-original-ne-aktivirovan-dual-sim-1-sim-2-6-256-gb-fioletovyy-786039793/
iOS,iOS 16,https://www.ozon.ru/product/apple-smartfon-iphone-14-novyy-original-ne-aktivirovan-dual-sim-1-sim-2-6-128-gb-belyy-786043090/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-iphone-15-original-ne-aktivirovan-dual-sim-1-sim-2-6-128-gb-goluboy-1189965747/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-iphone-15-original-ne-aktivirovan-dual-sim-1-sim-2-6-128-gb-zheltyy-1189954194/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-4-256-gb-temno-zelenyy-1078590162/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-4-128-gb-belyy-1444976072/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-iphone-15-original-ne-aktivirovan-dual-sim-1-sim-2-6-256-gb-svetlo-rozovyy-1189968251/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-4-128-gb-chernyy-1444975947/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-4-256-gb-chernyy-matovyy-1078590243/
iOS,iOS 15,https://www.ozon.ru/product/apple-smartfon-iphone-13-4-128-gb-rozovyy-1444976188/
Android,Android version not specified,https://www.ozon.ru/product/poco-smartfon-globalnaya-versiya-smartfona-poco-f5-5g-nfc-podderzhivaet-russkiy-yazyk-12-256-978197122/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-apple-iphone-15-podderzhka-russkogo-yazyka-dvoynoy-nano-sim-besplatnyy-1209048806/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-apple-iphone-15-podderzhka-russkogo-yazyka-dvoynoy-nano-sim-besplatnyy-1209047811/
iOS,iOS 17,https://www.ozon.ru/product/apple-smartfon-apple-iphone-15-podderzhka-russkogo-yazyka-dvoynoy-nano-sim-besplatnyy-1209046704/
iOS,iOS 14,https://www.ozon.ru/product/apple-smartfon-iphone-12-esim-sim-4-64-gb-fioletovyy-984953077/
